================ Training Loss (Tue May  9 09:39:50 2023) ================
(epoch: 22, iters: 130, time: 0.235, data: 0.025) G_GAN: 0.412 D_real: 0.054 D_fake: 0.203 G: 1.631 NCE: 1.273 NCE_Y: 1.165 
(epoch: 23, iters: 60, time: 0.235, data: 0.027) G_GAN: 0.289 D_real: 0.175 D_fake: 0.202 G: 1.476 NCE: 1.228 NCE_Y: 1.146 
(epoch: 23, iters: 160, time: 0.236, data: 0.027) G_GAN: 0.360 D_real: 0.209 D_fake: 0.182 G: 1.718 NCE: 1.605 NCE_Y: 1.110 
(epoch: 24, iters: 90, time: 0.236, data: 0.028) G_GAN: 0.259 D_real: 0.266 D_fake: 0.250 G: 1.478 NCE: 1.196 NCE_Y: 1.241 
(epoch: 25, iters: 20, time: 0.235, data: 0.027) G_GAN: 0.243 D_real: 0.220 D_fake: 0.343 G: 1.461 NCE: 1.282 NCE_Y: 1.154 
(epoch: 25, iters: 120, time: 0.235, data: 0.029) G_GAN: 0.214 D_real: 0.176 D_fake: 0.296 G: 1.438 NCE: 1.301 NCE_Y: 1.147 
(epoch: 26, iters: 50, time: 0.236, data: 0.024) G_GAN: 0.288 D_real: 0.190 D_fake: 0.225 G: 1.466 NCE: 1.249 NCE_Y: 1.107 
(epoch: 26, iters: 150, time: 0.237, data: 0.025) G_GAN: 0.349 D_real: 0.160 D_fake: 0.205 G: 1.567 NCE: 1.157 NCE_Y: 1.279 
(epoch: 27, iters: 80, time: 0.235, data: 0.025) G_GAN: 0.438 D_real: 0.112 D_fake: 0.202 G: 1.888 NCE: 1.276 NCE_Y: 1.625 
(epoch: 28, iters: 10, time: 0.235, data: 0.029) G_GAN: 0.304 D_real: 0.130 D_fake: 0.297 G: 1.332 NCE: 1.057 NCE_Y: 0.998 
(epoch: 28, iters: 110, time: 0.236, data: 0.025) G_GAN: 0.318 D_real: 0.303 D_fake: 0.150 G: 1.314 NCE: 1.000 NCE_Y: 0.992 
